target,Full-Chain(unbound),Interface(unbound),Non-interface(unbound),Full-Chain(bound),Interface(bound),Non-interface(bound)
8S0L:A_8S0L:B,"[0.9468, 0.9727]","[0.9644, 0.7771]","[0.9266, 0.9897]","[0.9388, 0.9848]","[0.9816, 0.9088]","[0.9096, 0.9903]"
8Z8V:A_8Z8V:B,"[0.9872, 0.9777]","[0.6029, 0.2752]","[0.9875, 0.9662]","[0.9917, 0.9626]","[0.5857, 0.2557]","[0.9929, 0.9673]"
8H62:A_8H62:B,"[0.9897, 0.95]","[0.4079, 0.8159]","[0.9855, 0.9371]","[0.9928, 0.4903]","[0.5409, 0.9383]","[0.9896, 0.6855]"
7LA5:A_7LA5:B,"[0.971, 0.9307]","[0.9562, 0.9191]","[0.9509, 0.9984]","[0.9887, 0.9681]","[0.9838, 0.9694]","[0.968, 0.9988]"
7N0E:B_7N0E:A,"[0.8128, 0.9127]","[0.5654, 0.9281]",[0.9399],"[0.8615, 0.9478]","[0.8022, 0.9462]",[0.9568]
7PQ0:A_7PQ0:B,"[0.991, 0.5973]","[0.979, 0.4092]","[0.9829, 0.6122]","[0.993, 0.6296]","[0.9835, 0.4056]","[0.9885, 0.6644]"
7VG7:A_7VG7:B,"[0.9629, 0.9259]","[0.8458, 0.3831]","[0.9747, 0.9631]","[0.9614, 0.9151]","[0.345, 0.3911]","[0.9721, 0.9527]"
8B2R:A_8B2R:B,"[0.9585, 0.9521]","[0.8659, 0.9141]","[0.9323, 0.8571]","[0.9477, 0.9379]","[0.8368, 0.9176]","[0.9075, 0.8277]"
8DYE:A_8DYE:B,"[0.9117, 0.1875]","[0.5431, 0.1581]",[0.9335],"[0.9087, 0.7778]","[0.5369, 0.6802]",[0.9314]
8TK9:A_8TK9:B,"[0.9787, 0.4843]","[0.4332, 0.4514]","[0.9728, 0.4159]","[0.9854, 0.7771]","[0.9444, 0.7725]","[0.9806, 0.4784]"
8U7B:B_8U7B:C,"[0.7389, 0.987]","[0.6828, 0.9548]","[0.7057, 0.9842]","[0.9733, 0.9902]","[0.9571, 0.9882]","[0.9595, 0.9859]"
9ERV:A_9ERV:B,"[0.8038, 0.5296]","[0.5863, 0.4714]",[0.9352],"[0.885, 0.5367]","[0.7451, 0.4702]",[0.9536]
8RCI:A_8RCI:E,"[0.9961, 0.9892]","[0.9809, 0.9672]","[0.9937, 0.9712]","[0.9943, 0.9911]","[0.9718, 0.9864]","[0.9915, 0.9699]"
7Q1U:A_7Q1U:B,"[0.991, 0.9255]","[0.9649, 0.7069]","[0.9881, 0.964]","[0.991, 0.9626]","[0.97, 0.6958]","[0.9882, 0.986]"
9E9G:A_9E9G:B,"[0.9303, 0.9118]","[0.8166, 0.5056]","[0.9309, 0.8541]","[0.9602, 0.9535]","[0.8482, 0.7725]","[0.9465, 0.9101]"
Mean,0.9029,0.7165,0.9051,0.9358,0.7947,0.919
